Village,Sex Ratio,Total Household,Excluded Household,Included household,Deprived Household,Zero Deprived Household,Household Owing Land,"Households with any member earning more than Rs. 10,000 p.m",Households with three or more rooms with pucca walls and pucca roof,Households owning 2.5 acres or more irrigated land with at least one irrigation equipment,Household owning 5 acres or more land irrigated for two or more crop seasons,Households owning 7.5 acres or more land with at least one irrigation equipment,"Households having Kisan credit card with the credit limit of Rs.50,000 and above",HH without shelter,Destitute/ living on alms,Manual scavengers,Primitive tribal groups,Legally released bonded labourers,Only one room with kucha walls and kucha roof,No adult member between age 16 to 59,Female headed households with no adult male member between age 16 to 59,Disabled member and no able bodied adult member,SC/ST households,No literate adult above 25 years,Landless households deriving major part of their income from manual casual labour,Owned,Rented,Any Other,Total unirrigated land (in hectares),Total irrigated land (in hectares),Total other irrigated land (in hectares),"Less than Rs. 5,000","Between Rs. 5,000 and Rs 10,000","Rs. 10,000 or more",Cultivation,Manual Casual Labour,Part-time or Full-Time Domestic Service,Foraging Rag Picking,Non-agricultural Own Account Enterprise,Begging/Charity/ Alms collection,Others,Total Population,SC Population,ST Population,Male,Female,Transgender,0-5 Yrs,6-15 Yrs,16-25 Yrs,26-35 Yrs,36-45 Yrs,46-55 Yrs,56-65 Yrs,66-75 Yrs,Above 76 Yrs,Never Married,Currently Married,Widowed,Separated,Divorced,Illiterate,Below Primary,Primary,Middle,Secondary,Higher Secondary,Graduate or Above,Other,In Seeing,In Hearing,In Speech,In Movement,Mental Retardation,Mental Illness,Other Disability,Multipls Disability,No Disability
Nutanpara,979,313,21,2,235,55,83,1,7,2,0,0,5,0,2,0,0,0,81,16,17,1,1,99,185,306,2,5,1.83,61.86,0.00,305,7,1,48,236,0,0,0,2,27,1215,0,6,614,601,0,109,268,258,180,171,105,62,46,16,569,576,41,3,8,354,192,301,259,61,29,14,5,1,0,2,4,0,1,0,0,1207
Garamgari,915,380,21,4,313,42,74,3,7,0,1,0,2,0,4,0,0,0,150,32,34,0,0,242,255,380,0,0,83.97,48.99,35.31,362,15,3,73,266,0,0,0,4,37,1486,0,0,776,710,0,185,340,292,220,174,120,88,56,11,732,675,57,3,7,839,5,223,268,90,31,30,0,0,0,0,0,1,0,0,0,1485
Habipur,864,146,21,0,117,8,20,0,0,0,0,0,0,0,0,0,0,0,23,2,8,1,36,73,100,146,0,0,0.58,6.65,0.16,145,1,0,23,118,0,0,0,0,5,576,195,0,309,267,0,72,128,142,86,64,57,20,5,2,281,277,15,0,0,275,42,141,82,28,6,1,1,7,1,1,20,2,2,3,0,540
Kaladanga,947,2100,271,71,1481,277,510,32,172,15,19,6,13,0,71,0,0,0,415,95,119,4,14,837,1171,2083,11,6,930.01,949.02,307.92,1705,363,32,392,1374,21,0,96,71,146,8446,55,0,4337,4109,0,929,1683,1928,1364,1018,707,457,270,90,3899,4097,309,24,50,3500,1025,1801,1527,356,124,108,5,21,8,11,25,18,2,11,23,8327
Charislampur,1078,29,3,0,21,5,4,0,3,0,0,0,0,0,0,0,0,0,2,1,1,0,0,8,20,29,0,0,0.00,2.16,0.00,23,6,0,1,21,0,0,3,0,4,133,0,0,64,69,0,11,33,36,12,17,15,6,3,0,68,64,0,0,1,53,24,22,23,3,6,2,0,0,0,0,0,0,0,0,0,133
Dhanaipur,1019,530,93,13,276,148,199,6,63,5,0,0,2,0,13,0,0,0,56,33,47,2,1,149,139,529,1,0,18.97,136.40,2.23,478,46,6,256,178,6,1,23,13,53,2094,5,0,1037,1057,0,175,455,459,313,304,169,119,81,19,964,953,86,4,14,701,63,391,654,177,72,32,4,15,7,3,37,4,7,34,5,1982
Baliharpur,926,167,9,1,150,7,41,2,6,1,0,0,0,0,1,0,0,0,17,10,8,0,107,28,112,167,0,0,1.00,17.53,1.66,162,3,2,18,141,0,0,0,1,7,676,426,0,351,325,0,108,112,168,91,74,74,25,19,5,312,333,22,3,0,148,79,181,195,51,16,6,0,0,0,0,17,1,2,0,0,656
Char Harharia,885,54,6,0,42,6,21,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,36,21,54,0,0,14.89,0.00,0.00,24,30,0,24,30,0,0,0,0,0,245,0,0,130,115,0,32,63,50,42,22,19,9,6,2,127,104,5,0,6,120,7,47,55,15,1,0,0,0,0,0,1,0,2,0,0,242
Nidhi Nagar Sarsabad,955,1425,112,8,1154,151,211,14,66,7,0,0,4,0,8,0,0,0,98,82,92,1,82,560,1037,1420,3,2,118.36,111.07,13.67,1292,119,14,185,1188,2,0,1,8,41,5994,252,48,3066,2927,1,652,1302,1376,871,714,489,303,197,90,2844,2822,204,28,30,2212,575,1086,1539,307,128,65,82,9,4,6,13,5,4,3,7,5943
Madanpur,939,1063,177,0,719,167,308,33,45,1,2,0,32,0,0,0,0,0,214,55,68,7,5,164,602,1047,6,10,90.74,186.45,50.00,901,129,33,155,748,4,1,9,0,146,4134,0,16,2132,2002,0,431,832,990,620,525,337,210,137,52,1918,1951,160,19,19,725,1149,1267,614,167,114,98,0,23,11,11,32,6,4,26,10,4011
